time,pos,delta
22.15099713,322.5794983,7.076171875
22.16202992,322.3683472,7.075714111
22.17398555,322.1515503,7.076202393
22.18603563,321.933197,7.077667236
22.19802998,321.7174072,7.079772949
22.21003133,321.5054932,7.079498291
22.22202021,321.2955933,7.0753479
22.23507309,321.083313,7.072570801
22.24604905,320.8667908,7.071502686
22.25711176,320.6494446,7.07321167
22.26912905,320.4358826,7.077209473
22.28102834,320.2251282,7.078094482
22.29304097,320.0117188,7.078033447
22.30503043,319.7933044,7.079437256
22.31702944,319.5762939,7.080718994
22.32902544,319.3623352,7.081756592
22.34099257,319.151947,7.079742432
22.3529973,318.9416504,7.076019287
22.36402359,318.7263184,7.074127197
22.37598111,318.5093689,7.073699951
22.38801667,318.2928162,7.077880859
22.40002404,318.0811768,7.080596924
22.4120228,317.8702087,7.079559326
22.42402034,317.6531982,7.080627441
22.43602004,317.4360657,7.081604004
22.447994,317.2203369,7.082855225
22.45903471,317.0085144,7.082702637
22.47105217,316.7980652,7.078704834
22.48302009,316.5852661,7.075775146
22.49502007,316.3685913,7.074737549
22.50702857,316.151123,7.076690674
22.51901784,315.9374695,7.079833984
22.53104964,315.7268372,7.080749512
22.54300466,315.5135803,7.080749512
22.55499023,315.2954102,7.081512451
22.56604344,315.0784607,7.082092285
22.57815877,314.8645325,7.083251953
22.59002116,314.6537476,7.081298828
22.6021496,314.4432983,7.077850342
22.61412166,314.2276917,7.076446533
22.62612241,314.0108032,7.07611084
22.63808283,313.7947998,7.078918457
22.65006993,313.5837402,7.081115723
22.66103949,313.3724976,7.080383301
22.67310214,313.1555481,7.080810547
22.68511128,312.9377136,7.081665039
22.69702299,312.7216797,7.083251953
22.70907282,312.5097656,7.08303833
22.72100458,312.2993469,7.078735352
22.73302469,312.0874023,7.075927734
22.74498436,311.870697,7.07522583
22.75697042,311.6535645,7.076568604
22.76803943,311.4396057,7.08001709
22.7809897,311.228363,7.080627441
22.79202485,311.0145264,7.080322266
22.80410108,310.7966309,7.081329346
22.81604659,310.5798035,7.082183838
22.82801716,310.3655396,7.0831604
22.84006609,310.1548767,7.080993652
22.85200643,309.9444885,7.077178955
22.86307867,309.7290344,7.07522583
22.875033,309.5118408,7.074981689
22.88701781,309.2956543,7.079101563
22.89902093,309.0837097,7.081695557
22.91106041,308.8728027,7.080230713
22.92305766,308.6560364,7.080963135
22.93508888,308.4387512,7.081604004
22.94700528,308.2227478,7.08303833
22.95803393,308.0110779,7.082580566
22.97003744,307.8012085,7.078613281
22.98201907,307.5888672,7.075531006
22.99404849,307.3721313,7.074615479
23.00597914,307.1550903,7.076324463
23.01801795,306.9414063,7.07989502
23.02998351,306.7304993,7.080291748
23.04207107,306.5176392,7.080078125
23.05313343,306.2997742,7.080993652
23.06521861,306.0829773,7.082122803
23.07703475,305.8689575,7.083007813
23.08904714,305.6579895,7.080871582
23.10103914,305.4476318,7.07723999
23.11303775,305.2325134,7.075012207
23.1250283,305.0154114,7.074493408
23.13701359,304.7992859,7.078399658
23.14899978,304.5877991,7.081359863
23.16003665,304.37677,7.08013916
23.17200119,304.1599731,7.08102417
23.18403137,303.9431152,7.081359863
23.19600245,303.7267151,7.083068848
23.2080902,303.5148315,7.082824707
23.22008991,303.3044434,7.07824707
23.23209284,303.0923767,7.074981689
23.24401784,302.8760376,7.073059082
23.25502267,302.6588745,7.074798584
23.26707009,302.4454346,7.079315186
23.27902398,302.2346191,7.080505371
23.29117249,302.0212708,7.080413818
23.3031643,301.8038635,7.080413818
23.31514925,301.5875244,7.082000732
23.32709796,301.3729248,7.083221436
23.33901526,301.1625977,7.080413818
23.35011107,300.9523621,7.076721191
23.36210503,300.7372742,7.074188232
23.3740451,300.5210266,7.072662354
23.38608182,300.3048401,7.077331543
23.3981178,300.0925903,7.082000732
23.41011529,299.8805542,7.080200195
23.42208977,299.6633301,7.080871582
23.43409722,299.4468384,7.0809021
23.44609739,299.2301941,7.082824707
23.45716574,299.0178223,7.082763672
23.46903827,298.8083191,7.078094482
23.48201003,298.5957947,7.075073242
23.49302846,298.3798523,7.07220459
23.50503092,298.1628113,7.07434082
23.51703073,297.9477844,7.079956055
23.52902346,297.7366638,7.08114624
